Timestamp,Node_ID,Avg_Power_W,GPU_Util_PCT,CPU_Util_PCT,Mem_Used_GB,Fan_RPM,Inlet_Temp_C
2026-06-01 00:00,hpc-gpu-001,2744,43.5,79.9,861,9259,20.5
2026-06-01 00:00,hpc-gpu-010,2612,42.5,68.5,866,10561,18.4
2026-06-01 00:00,hpc-gpu-019,3722,67.1,21.5,669,8284,21.5
2026-06-01 00:00,hpc-gpu-029,3283,57.8,21.9,468,5990,25.1
2026-06-01 00:00,hpc-gpu-038,2276,33.7,42.7,628,8068,25.3
2026-06-01 00:00,hpc-gpu-048,2260,31.6,23.5,861,7196,22.4
2026-06-01 00:00,hpc-gpu-057,2671,43.3,51.9,728,9235,24.9
2026-06-01 00:00,hpc-gpu-067,3381,59.3,36.8,510,8389,26.3
2026-06-01 00:00,hpc-gpu-076,2908,47.3,61.0,237,7790,20.7
2026-06-01 00:00,hpc-gpu-086,2991,50.3,62.4,802,10751,19.2
2026-06-01 00:00,hpc-gpu-095,2052,28.4,87.8,367,6445,27.7
2026-06-01 00:00,hpc-cpu-009,501,0.0,37.5,366,5258,20.2
2026-06-01 00:00,hpc-cpu-018,566,0.0,27.8,298,6461,21.1
2026-06-01 00:00,hpc-cpu-028,878,0.0,20.4,397,6280,22.7
2026-06-01 00:00,infra-009,1550,0.0,86.1,315,8944,19.2
2026-06-01 01:00,hpc-gpu-003,3673,66.0,81.7,361,5689,27.8
2026-06-01 01:00,hpc-gpu-012,2011,27.9,84.5,513,11419,22.7
2026-06-01 01:00,hpc-gpu-022,2931,47.9,35.5,636,7504,26.4
2026-06-01 01:00,hpc-gpu-031,2183,32.2,33.3,811,10199,24.6
2026-06-01 01:00,hpc-gpu-041,3082,53.7,21.0,254,7741,19.5
2026-06-01 01:00,hpc-gpu-050,2432,37.6,37.4,631,8563,27.9
2026-06-01 01:00,hpc-gpu-060,2688,44.4,94.2,349,7924,20.9
2026-06-01 01:00,hpc-gpu-069,3710,67.8,34.1,550,10552,19.5
2026-06-01 01:00,hpc-gpu-079,3537,63.6,65.0,309,8748,20.3
2026-06-01 01:00,hpc-gpu-088,2371,35.0,31.2,358,8280,22.2
2026-06-01 01:00,hpc-cpu-002,847,0.0,52.4,213,11904,22.3
2026-06-01 01:00,hpc-cpu-011,523,0.0,22.6,239,7714,19.0
2026-06-01 01:00,hpc-cpu-021,636,0.0,50.9,311,7828,24.8
2026-06-01 01:00,infra-002,1344,0.0,75.1,230,10697,25.2
2026-06-01 01:00,infra-012,877,0.0,30.3,110,5380,24.6
2026-06-01 02:00,hpc-gpu-005,3430,61.2,56.1,617,7011,23.9
2026-06-01 02:00,hpc-gpu-015,3324,58.9,63.9,665,9989,26.8
2026-06-01 02:00,hpc-gpu-024,2560,41.3,90.5,499,7508,22.4
2026-06-01 02:00,hpc-gpu-033,1790,21.8,33.8,558,5652,27.2
2026-06-01 02:00,hpc-gpu-043,3516,61.4,91.5,787,7982,24.4
2026-06-01 02:00,hpc-gpu-052,3154,55.6,67.6,471,11363,27.7
2026-06-01 02:00,hpc-gpu-062,2183,31.0,75.1,730,7934,21.0
2026-06-01 02:00,hpc-gpu-071,2272,33.5,82.1,217,9727,27.3
2026-06-01 02:00,hpc-gpu-081,1670,20.1,92.8,709,7447,18.9
2026-06-01 02:00,hpc-gpu-090,2580,41.5,57.6,830,6825,26.7
2026-06-01 02:00,hpc-cpu-004,898,0.0,54.5,77,11718,26.8
2026-06-01 02:00,hpc-cpu-013,648,0.0,26.9,290,8002,26.6
2026-06-01 02:00,hpc-cpu-023,663,0.0,82.6,156,8283,26.7
